id,paper_count
A5090391261,6
A5073403936,1
A5089974224,1
A5097325383,1
A5109158331,2
A5102779395,3
A5053914776,3
A5013140386,6
A5109052393,1
A5105781195,6
A5081050083,2
A5077712670,6
A5100377356,1
A5030009327,1
A5085323623,3
A5065168612,21
A5014759932,1
A5065159556,1
A5000486093,2
A5092243533,9
A5073480771,83
A5020146313,2
A5112886258,1
A5068281692,1
A5107383019,4
A5011108211,1
A5056395321,1
A5109522037,1
A5033373385,2
A5019057695,1
A5044990686,2
A5107026748,2
A5036051612,4
A5085365276,19
A5107522153,7
A5095299598,3
A5070272637,2
A5062657666,1
A5059747080,13
A5110195480,1
A5112619586,1
A5029182254,43
A5062262344,3
A5103200003,1
A5078962582,1
A5041310373,3
A5041863516,1
A5082957259,3
A5000563866,2
A5079485402,46
A5112750288,1
A5004038188,1
A5073093105,5
A5093136202,1
A5026570771,35
A5043201276,1
A5048637828,1
A5101852826,1
A5041674153,1
A5066075617,1
A5055835648,3
A5058619797,8
A5093054252,1
A5032412244,10
A5107079474,1
A5105545426,1
A5053705572,1
A5104000167,1
A5022208516,4
A5048636901,26
A5100307213,1
A5065911867,1
A5114045591,1
A5052639705,2
A5002759850,2
A5044364965,15
A5103154161,2
A5107204663,4
A5045118756,1
A5100331456,2
A5053221778,2
A5061044921,1
A5053619437,2
A5014447673,1
A5050537319,3
A5101676261,6
A5039339558,2
A5045373037,5
A5008361954,1
A5060521987,15
A5109431946,1
A5110255936,1
A5002262896,1
A5093013770,1
A5023653634,1
A5105515172,38
A5074603835,1
A5062411923,1
A5102799660,3
A5029909410,1
A5113856786,1
A5051438537,1
A5050301868,1
A5035443435,6
A5109184498,1
A5025485545,2
A5076735127,1
A5014918031,4
A5034415643,1
A5015050566,10
A5006195077,1
A5059965522,1
A5093161342,1
A5071073537,1
A5077582211,3
A5083309815,5
A5112194786,1
A5023471380,21
A5023278470,2
A5039433898,1
A5111010783,1
A5039347479,1
A5055837243,7
A5076113906,22
A5108412923,1
A5033105158,10
A5102892254,3
A5092767934,1
A5069926073,37
A5027347519,11
A5081385083,1
A5002392520,2
A5031958451,4
A5041542221,4
A5023417643,2
A5035254527,1
A5100766772,1
A5091552231,1
A5107828263,1
A5090176726,2
A5100480934,1
A5043301943,1
A5100690131,1
A5107925057,2
A5101528665,3
A5075615790,1
A5108982503,1
A5074864006,12
A5056511422,1
A5049381109,8
A5107909891,3
A5029059583,5
A5053285587,1
A5078465648,2
A5063382361,3
A5065487609,3
A5107925200,17
A5067584117,1
A5088702948,1
A5027760373,20
A5032893453,1
A5011088143,1
A5003927833,2
A5036393812,1
A5099042798,1
A5026200572,1
A5039894660,15
A5113426471,2
A5051785078,3
A5004048532,1
A5052819678,1
A5070673086,1
A5041389699,10
A5016392828,1
A5023334482,4
A5081330903,1
A5048838915,27
A5010580428,1
A5057569692,2
A5061420525,18
A5000388383,3
A5027632156,4
A5003011520,1
A5072175850,1
A5062463562,6
A5042297370,1
A5100759847,2
A5094302920,2
A5013724223,9
A5108294972,1
A5046947058,1
A5021274358,5
A5049843538,62
A5020760884,1
A5016840301,2
A5063483944,29
A5018109984,56
A5109878323,2
A5048799943,1
A5026562572,1
A5034904029,1
A5050839592,2
A5039368667,18
A5001921851,4
A5025802135,1
A5049294942,1
A5067433768,4
A5039913379,1
A5065638923,2
A5111781502,1
A5104581739,3
A5057723412,2
A5044839822,2
A5083888520,1
A5101985539,1
A5003688869,4
A5037268527,15
A5092025238,1
A5018374142,1
A5047957973,1
A5038405190,1
A5085242456,1
A5025533773,1
A5009739650,1
A5009433099,3
A5070350054,5
A5070292053,1
A5083696423,1
A5025044708,1
A5052665274,4
A5042162241,4
A5012833892,7
A5011334511,4
A5023324179,2
A5077169152,1
A5100634965,55
A5039267390,4
A5047193780,1
A5058504836,2
A5030807064,1
A5081843650,2
A5041636729,24
A5091842945,1
A5066831989,5
A5011478102,52
A5063756019,1
A5087474935,1
A5021186645,1
A5100391416,1
A5114041870,1
A5107870696,7
A5044176085,1
A5076927814,6
A5051459969,2
A5010815517,1
A5088755212,1
A5102829972,2
A5027959218,1
A5026863381,40
A5067060292,24
A5045930247,549
A5100424992,1
A5015986179,1
A5066851094,1
A5025089672,1
A5016064325,16
A5062317403,5
A5081291020,7
A5090126708,1
A5002063551,1
A5035768624,3
A5027047053,3
A5078915608,1
A5112447819,1
A5095254969,1
A5014344332,3
A5012711911,12
A5019320853,1
A5021574165,1
A5044768116,2
A5022346522,1
A5050633955,4
A5101615277,1
A5062727781,1
A5092688334,1
A5061963219,2
A5046143595,12
A5021206301,2
A5090603678,7
A5010398085,41
A5070080154,2
A5039964731,2
A5078905245,1
A5100437650,2
A5095456938,1
A5080058991,1
A5107877434,1
A5068581426,13
A5056255330,1
A5019276217,1
A5073459847,1
A5109369043,1
A5041672617,4
A5011209376,108
A5115596213,2
A5059877458,2
A5040038977,1
A5014811558,1
A5108037940,36
A5044232693,15
A5067662277,1
A5003278843,1
A5115592103,7
A5089126924,1
A5018861529,7
A5069002684,1
A5079312664,2
A5100601790,3
A5033133370,2
A5081685548,1
A5083341025,3
A5012331731,2
A5001313322,1
A5004219107,1
A5053020981,1
A5076127269,5
A5083852619,1
A5006760504,6
A5054156708,4
A5004317306,11
A5018398572,48
A5090164859,1
A5109002650,1
A5073978780,9
A5078248523,3
A5113413535,1
A5039206606,2
A5107253324,2
A5086046593,1
A5086079145,2
A5020754294,3
A5001676786,2
A5106217001,1
A5086633752,30
A5010172201,1
A5104246089,1
A5021959301,1
A5067260976,1
A5045639327,1
A5073047882,1
A5043820311,1
A5084250210,13
A5107882076,22
A5072773484,1
A5084242635,6
A5065680616,86
A5049790381,7
A5107920604,3
A5061816199,1
A5053477113,1
A5044214061,1
A5023494881,3
A5005729862,1
A5044663548,1
A5114022367,1
A5077906320,4
A5053304866,2
A5065748555,3
A5033137165,2
A5112684657,1
A5094577046,1
A5001571015,1
A5049967658,19
A5086592393,14
A5088136949,4
A5087522076,2
A5041276152,10
A5054785867,1
A5102871222,1
A5038962036,1
A5102966839,6
A5084369631,1
A5111510589,2
A5053785270,4
A5032444078,1
A5054109806,8
A5065355043,1
A5040025014,6
A5114494432,1
A5040787588,13
A5083148276,1
A5000298077,4
A5070459281,4
A5008465730,1
A5064844123,1
A5065509225,1
A5100932566,1
A5049808079,5
A5036280404,1
A5106115034,1
A5094577044,1
A5064378373,1
A5050822007,1
A5102902161,3
A5013869134,4
A5003402282,1
A5064302280,13
A5063958392,18
A5110998896,1
A5019069167,1
A5060063275,1
A5109364699,1
A5013819177,10
A5000688446,1
A5034462201,8
A5016115321,8
A5009976057,9
A5023610327,8
A5042884495,1
A5036820514,1
A5106365541,1
A5076882310,1
A5041438601,1
A5001878824,1
A5102915600,7
A5086887025,1
A5068661525,1
A5048467115,11
A5101549404,1
A5070838325,27
A5051344157,1
A5072923137,1
A5101781218,1
A5090200000,1
A5040721355,1
A5041601846,32
A5104600142,1
A5045448108,1
A5091768498,1
A5074774989,34
A5011811268,4
A5104098772,2
A5029324469,1
A5067297452,13
A5018424341,1
A5002763186,2
A5090404637,1
A5023017959,1
A5029811200,1
A5068144387,7
