source,target
W2998171930,W2978291699
W2998171930,W4375944134
W3016579296,W2993180841
W4225255992,W3118300923
W3081297804,W3002506417
W3081297804,W3011745460
W3081297804,W3016118468
W3081297804,W3101844756
W3084317020,W2999523674
W3110880827,W3009229510
W3196794077,W3193454017
W4221146120,W2974427135
W4221146120,W2993180841
W4221146120,W3035034999
W4221146120,W3035076551
W4221146120,W3041529689
W4221146120,W3108845853
W4221146120,W3130491860
W3016454215,W3105410573
W3152946278,W4245899093
W3108642873,W2972599699
W3108642873,W2998171930
W3108642873,W3016579296
W3108642873,W3108845853
W3108642873,W4375944134
W3161314459,W2974427135
W3161314459,W2978291699
W3161314459,W2993180841
W3161314459,W3010671326
W3161314459,W3041529689
W3161314459,W3047671489
W3161314459,W3108845853
W4327980509,W2972025259
W4327980509,W3032479665
W4327980509,W4225939853
W4327980509,W4281741757
W4327980509,W4385477521
W3098589823,W2978291699
W3098589823,W2993180841
W3098589823,W3093734695
W3098589823,W3095743801
W3098589823,W3130491860
W3126937135,W2974427135
W3126937135,W2993180841
W3126937135,W3015765655
W3126937135,W3016579296
W3126937135,W3035076551
W3126937135,W3041529689
W3126937135,W3093734695
W3126937135,W3108845853
W3084213432,W2985988539
W3084548477,W2993180841
W3084548477,W3022399049
W3084548477,W3093734695
W3091769909,W2974427135
W3091769909,W3041456523
W3091769909,W3041529689
W3091769909,W3093734695
W3091769909,W3126463652
W3129646504,W2991216885
W3129646504,W3105127521
W3135863413,W2974427135
W3135863413,W3022252788
W3135863413,W3035034999
W3135863413,W3041529689
W3135863413,W3108284800
W3135863413,W3108845853
W4206898332,W3027515340
W4206898332,W3137254585
W4391023377,W3014488149
W4391023377,W4206071468
W3045522828,W3005546911
W3153000218,W2977664612
W3153000218,W3011650960
W3153000218,W3015765655
W3153000218,W3042132278
W3153000218,W3093734695
W3153000218,W3108284800
W3153000218,W3108845853
W4366464688,W2974427135
W4366464688,W2978291699
W4366464688,W2993180841
W4366464688,W3041529689
W4366464688,W3047671489
W4366464688,W3048599524
W4366464688,W3093734695
W4366464688,W3108845853
W4366464688,W3216008750
W4366464688,W4220663624
W3042522297,W2993180841
W3042522297,W3026602781
W3042522297,W3082194779
W3045164359,W3041055777
W3045164359,W3098244813
W3049693733,W2993180841
W3082095309,W3021416562
W3082095309,W3102687781
W3082095309,W4288083574
W3104982698,W2974427135
W3138839355,W2990845791
W3152087882,W3038334416
W3195622870,W3004161535
W3195622870,W3052016782
W4205963492,W2978291699
W4205963492,W3041529689
W4205963492,W3081986912
W4205963492,W3093734695
W4205963492,W3096932602
W4205963492,W3108845853
W4281667141,W3164168851
W4281667141,W3200674343
W4281667141,W3201007633
W4284892336,W3047649993
W4284892336,W3108661625
W4284892336,W3162458588
W4284892336,W3179024818
W4284892336,W3201962575
W4284892336,W4282821797
W4317666385,W2998531286
W3185686840,W2974427135
W3185686840,W2993180841
W3185686840,W2995425743
W3185686840,W3041529689
W3185686840,W3108845853
W3209083906,W3093816678
W3209083906,W3117670243
W4283458744,W3002506417
W4283458744,W3016118468
W4283458744,W3018354661
W4283458744,W3041206586
W4283458744,W3081297804
W4283458744,W3101844756
W4283458744,W3108624104
W4283458744,W3149882728
W3031576691,W3006496099
W3031576691,W3031576691
W3129095565,W3097101604
W3011650960,W2974427135
W3011650960,W2993180841
W3181440196,W2974427135
W3181440196,W2993180841
W3181440196,W3011650960
W3181440196,W3038378976
W3181440196,W3041529689
W3198802184,W2974427135
W3198802184,W2993180841
W3198802184,W3015765655
W3198802184,W3035076551
W3198802184,W3041529689
W3198802184,W3093734695
W3198802184,W3104982698
W3198802184,W3108845853
W3198802184,W3133752370
W4212896354,W3014854537
W4212896354,W4250048562
W4221161542,W2974427135
W4221161542,W2993180841
W4221161542,W3035076551
W4221161542,W3041529689
W4221161542,W3093734695
W4221161542,W3108845853
W4306777596,W3088925367
W4306777596,W3118057031
W4306777596,W4225141084
W4306777596,W4300716521
W4321350436,W3128180050
W4321350436,W3192615008
W4321350436,W4220820376
W4321350436,W4280541945
W4321350436,W4295034783
W4321350436,W4295034808
W4321350436,W4297905729
W4321350436,W4306777596
W3025763786,W4249169094
W3042132278,W2981457903
W3186614190,W3155744036
W4225289839,W3108284800
W4225289839,W3124944547
W4228997338,W3200909231
W4224911883,W3088809314
W4224911883,W3099182231
W4224911883,W3101897902
W4224911883,W3129646504
W4224911883,W3133379199
W4224911883,W3187710696
W4224911883,W3202832094
W4224911883,W3204171486
W4224911883,W3204248517
W4224911883,W4205760540
W4224911883,W4206582995
W4224911883,W4285009550
W3039248883,W3111058943
W3091097863,W3091097863
W3194822224,W2993180841
W3194822224,W3035076551
W3194822224,W3036616229
W3194822224,W3093734695
W3194822224,W3108845853
W3194822224,W3111906464
W3194822224,W3126463652
W3194822224,W3126937135
W3194822224,W3128736935
W3194822224,W4220965973
W4285728837,W3092578328
W4285728837,W3095993210
W4294955735,W3128108275
W4386448238,W2993180841
W4386448238,W3082194779
W4386448238,W3093734695
W4386448238,W3108845853
W4386448238,W3173669359
W4386448238,W4383619819
W3162442601,W2974427135
W3162442601,W3035076551
W3162442601,W3041529689
W3162442601,W3153873612
W3202486906,W2974427135
W3202486906,W2978291699
W3202486906,W3108284800
W3202486906,W3128736935
W3215199872,W3015004314
W3215199872,W3015104047
W3215199872,W3030528044
W3215199872,W3081761304
W3215199872,W3183552478
W4221161566,W2978291699
W4221161566,W3084548477
W4221161566,W3093734695
W4221161566,W3108845853
W4221161566,W3137973845
W4378468686,W3108284800
W4385374585,W3023537476
W4385374585,W3158457895
W4385374585,W4229052262
W4385374585,W4294816454
W4385374585,W4307852475
W2471744027,W2993180841
W3019749741,W2974427135
W3019749741,W3021039519
W3090510056,W2974427135
W3197320752,W3023309573
W4381250682,W2974427135
W4381250682,W2993180841
W4381250682,W3041529689
W4381250682,W3093734695
W4381250682,W3108845853
W4381250682,W3131551519
W4381250682,W3176886228
W4381250682,W3180559925
W4381250682,W3185686840
W3004161535,W2974427135
W3011482077,W3011482077
W4281675400,W2981346539
W4323348971,W3093762022
W4323348971,W4220740039
W4323348971,W4226247548
W4323348971,W4283716040
W4323348971,W4294904752
W4385622688,W2974427135
W4385622688,W3041529689
W4385622688,W3108284800
W4385622688,W3108642873
W4385622688,W3108845853
W4385622688,W4200082641
W3012236526,W2974427135
W3145572169,W3004971210
W3145572169,W3116228480
W3216008750,W2974427135
W3216008750,W2978291699
W3216008750,W3041529689
W3216008750,W3048599524
W3005889258,W4237325137
W3084719518,W2974427135
W3084719518,W3041529689
W3178059061,W2974427135
W3178059061,W2994804089
W3178059061,W3041529689
W3178059061,W3093734695
W3178059061,W3108845853
W3187719245,W3026209440
W4225966664,W3015004314
W4225966664,W3111459878
W4225966664,W3112181040
W4225966664,W3122356335
W4225966664,W3175852863
W4225966664,W3193867932
W4225966664,W3213514811
W4310375258,W3101897902
W4310375258,W3128257791
W4310375258,W3129396065
W4310375258,W3129646504
W4310375258,W3167632733
W4310375258,W3187710696
W4310375258,W3204171486
W4310375258,W3204248517
W4310375258,W4205760540
W4310375258,W4206582995
W4310375258,W4224911883
W4310375258,W4282830771
W4310375258,W4285009550
W4386911013,W4285728837
W3122546898,W3122546898
W3137973845,W2974427135
W3137973845,W2981457903
W3137973845,W2993180841
W3137973845,W3041529689
W3137973845,W3042522297
W3137973845,W3093734695
W3137973845,W3108845853
W3180559925,W3035076551
W4210535347,W2974427135
W4210535347,W2993180841
W4210535347,W3035076551
W4210535347,W3036616229
W4210535347,W3041529689
W4210535347,W3108845853
W4291020926,W3092578328
W4291020926,W3095993210
W4291020926,W4285728837
W4304617220,W3000953500
W4304617220,W3121247387
W4304617220,W3127576811
W4304617220,W3131456049
W4307568531,W2996944838
W4307568531,W3004053867
W4307568531,W3004343084
W4307568531,W3015600534
W4307568531,W3017335681
W4307568531,W3128720671
W4307568531,W3138355209
W4307568531,W3148522534
W4307568531,W3150670509
W4384009173,W2974427135
W4384009173,W2993180841
W4384009173,W3041529689
W4384009173,W3093734695
W4384009173,W3108845853
W4384009173,W3128375783
W4390629624,W3119470061
W4390629624,W3200482659
W4390629624,W4368363271
W4390629624,W4384764756
W3015214766,W3098535512
W3083336431,W3022218281
W3097326534,W3019148645
W3097326534,W3122604912
W3109645774,W3016450632
W3118182646,W2902333922
W3129453598,W3084806425
W3129453598,W4226137737
W4285490867,W4225384829
W4293065341,W3122074171
W4293065341,W3134452508
W4293065341,W4214662082
W4312211203,W3019229378
W4312211203,W3212260753
W4318384893,W3162704165
W4318392807,W4311640440
W4319984751,W3028135007
W4323350730,W4283365052
W3189164715,W3003838176
W3189164715,W3012140320
W3189164715,W3021204671
W3189164715,W3105458851
W3189164715,W3185227028
W3082823188,W3024441316
W3082823188,W3034871248
W3108845853,W2993180841
W3108845853,W2995425743
W3108845853,W3035034999
W3108845853,W3041529689
W3108845853,W3153873612
W3093734695,W2974427135
W3093734695,W2981346539
W3093734695,W2982180992
W3093734695,W3041529689
W3166651772,W3015004314
W3166651772,W3030469693
W3166651772,W3030528044
W3166651772,W3095749666
W3166651772,W3105227885
W3166651772,W3110087838
W3166651772,W3112878575
W3166651772,W3120221220
W3166651772,W3138833310
W3166651772,W3155532853
W3010671326,W2974427135
W3010671326,W2978291699
W3010671326,W2993180841
W3205605830,W3004713990
W4206830781,W3120706410
W3082902879,W3122451891
W3003838176,W3012140320
W4206071468,W4206006624
W3157208268,W3005836164
W3133752370,W3035076551
W3133752370,W3093734695
W4205616329,W3091862836
W4205616329,W3195672811
W4205616329,W3196360555
W4205616329,W3197665808
W3031282293,W2982180992
W3030528044,W2985988539
W3030528044,W3002514504
W3030528044,W3030469693
W3030528044,W3099912924
W3021626742,W3022528244
W3122451891,W3135814050
W2996362743,W2974427135
W3045174605,W3012411557
W3046471685,W3108775984
W3082785100,W2143849855
W3084362770,W3007602734
W3170804478,W3102593532
W3170804478,W3130611547
W3170804478,W3179362956
W3184157600,W3094076333
W3191465276,W3097530583
W3191465276,W3099524269
W3191465276,W3128257791
W4221085235,W3011523897
W4221085235,W3040561477
W4221085235,W3088919368
W4221085235,W3121247387
W4221085235,W3127576811
W4221085235,W3131456049
W4221085235,W3142883991
