id,doi,year,citations,type
W3158327740,,2020,0,paper
W4239768315,https://doi.org/10.1515/9780804797764-002,2020,0,paper
W3018810660,https://doi.org/10.1080/10448632.2020.1731292,2020,0,paper
W4226337800,https://doi.org/10.21827/krisis.41.2.38361,2021,0,paper
W4383761671,https://doi.org/10.56687/9781529208474,2021,0,paper
W2998171930,https://doi.org/10.1103/physrevd.101.052013,2020,41,paper
W3016579296,https://doi.org/10.1103/physrevd.102.032006,2020,41,paper
W3085049977,https://doi.org/10.1093/schbul/sbaa124,2020,40,paper
W4225255992,https://doi.org/10.1002/jcb.30247,2022,40,paper
W2919961212,https://doi.org/10.1257/aer.20190234,2020,40,paper
W3081297804,https://doi.org/10.1093/mnras/staa2424,2020,39,paper
W3162387328,https://doi.org/10.1109/icassp39728.2021.9413876,2021,40,paper
W4386736487,https://doi.org/10.1109/comst.2023.3315374,2023,36,paper
W3009112930,https://doi.org/10.1109/tpel.2020.2978656,2020,39,paper
W3014835434,https://doi.org/10.1007/jhep01(2020)051,2020,39,paper
W3084317020,https://doi.org/10.1016/j.carbon.2020.09.019,2020,38,paper
W3110880827,https://doi.org/10.1103/physrevd.102.092003,2020,36,paper
W3196794077,https://doi.org/10.14778/3476249.3476280,2021,39,paper
W4221146120,https://doi.org/10.1140/epjc/s10052-022-10588-3,2022,38,paper
W4281550587,https://doi.org/10.1016/j.jbankfin.2022.106547,2022,39,paper
W3016454215,https://doi.org/10.1093/mnras/staa1075,2020,38,paper
W3035365947,https://doi.org/10.1093/jac/dkaa222,2020,37,paper
W3111906464,https://doi.org/10.1007/jhep04(2021)174,2021,38,paper
W3130685616,https://doi.org/10.1287/orsc.2020.1427,2021,38,paper
W3152946278,https://doi.org/10.1093/oso/9780198848622.001.0001,2021,35,paper
W3000170873,https://doi.org/10.12688/wellcomeopenres.15518.2,2020,37,paper
W3108642873,https://doi.org/10.1103/physrevlett.127.051802,2021,35,paper
W3161314459,https://doi.org/10.1140/epjc/s10052-021-09117-5,2021,37,paper
W4327980509,https://doi.org/10.1080/27694127.2023.2188523,2023,38,paper
W2981130193,https://doi.org/10.1103/physrevlett.124.082301,2020,35,paper
W3089973735,https://doi.org/10.1111/jir.12782,2020,36,paper
W3098589823,https://doi.org/10.1140/epjc/s10052-021-09192-8,2021,36,paper
W3122574248,https://doi.org/10.3847/1538-4365/abc5c1,2021,36,paper
W3126937135,https://doi.org/10.1007/jhep05(2021)093,2021,37,paper
W3136496198,https://doi.org/10.1111/nph.17349,2021,36,paper
W3146587317,https://doi.org/10.1177/17511437211007779,2021,35,paper
