author1,author2,weight
A5000001510,A5067160786,5
A5000001510,A5106308466,1
A5000001510,A5108138675,2
A5000001510,A5112861297,1
A5000001510,A5113923169,1
A5000031039,A5043283844,1
A5000031039,A5059722365,1
A5000034708,A5008378749,4
A5000034708,A5011415420,1
A5000034708,A5024423524,1
A5000034708,A5025845183,16
A5000034708,A5026718378,15
A5000034708,A5038053117,5
A5000034708,A5049427682,1
A5000034708,A5068764969,3
A5000034708,A5070418391,2
A5000034708,A5078476389,6
A5000034708,A5087255862,1
A5000034708,A5104167302,1
A5000046494,A5024423524,2
A5000046494,A5038684754,1
A5000046494,A5039259985,1
A5000046494,A5052188317,1
A5000046494,A5081415804,1
A5000046494,A5086201540,1
A5000046494,A5086877004,1
A5000046494,A5088930027,1
A5000046494,A5108465419,1
A5000047704,A5019673641,2
A5000047704,A5028914408,4
A5000047704,A5042425900,2
A5000047704,A5043221376,2
A5000047704,A5087257542,4
A5000047704,A5102982033,1
A5000057889,A5000959718,5
A5000057889,A5014012698,2
A5000057889,A5020720612,4
A5000057889,A5033914164,1
A5000057889,A5037937397,2
A5000057889,A5067327141,1
A5000057889,A5068491867,1
A5000057889,A5078259466,4
A5000058127,A5060303280,1
A5000119795,A5035196790,1
A5000126947,A5003650312,1
A5000126947,A5027791756,1
A5000126947,A5049259378,1
A5000126947,A5060059400,1
A5000127737,A5004828576,1
A5000132210,A5009097110,1
A5000132210,A5084869758,1
A5000132210,A5086479843,2
A5000132210,A5101486539,7
A5000139341,A5032556461,3
A5000140419,A5002817255,1
A5000140419,A5078294186,1
A5000147923,A5017109701,1
A5000163802,A5012741837,1
A5000164391,A5048484797,1
A5000164391,A5080336181,1
A5000208214,A5005096029,1
A5000208214,A5009859946,1
A5000208214,A5011537996,1
A5000208214,A5026718378,4
A5000208214,A5037617615,1
A5000208214,A5045467592,1
A5000208214,A5053020981,1
A5000208214,A5057586496,1
A5000208214,A5059912734,2
A5000208214,A5068740868,1
A5000208214,A5077188403,1
A5000208214,A5077478429,1
A5000208214,A5103960005,1
A5000208214,A5112619586,1
A5000226130,A5008596499,2
